Customer_ID,Name,DOB,PAN,CIF
C0133,Customer133,1979-05-22,PAN0133,CIF0133
C0134,Customer134,1996-04-23,PAN0134,CIF0134
C0135,Customer135,1998-03-11,PAN0135,CIF0135
C0136,Customer136,1996-01-10,PAN0136,CIF0136
C0137,Customer137,1983-02-09,PAN0137,CIF0137
C0138,Customer138,1979-01-06,PAN0138,CIF0138
C0139,Customer139,1981-05-13,PAN0139,CIF0139
C0140,Customer140,1974-06-10,PAN0140,CIF0140
C0141,Customer141,1992-05-05,PAN0141,CIF0141
C0142,Customer142,1977-08-24,PAN0142,CIF0142
C0143,Customer143,1974-06-19,PAN0143,CIF0143
C0144,Customer144,1972-06-17,PAN0144,CIF0144
C0145,Customer145,1990-09-03,PAN0145,CIF0145
C0146,Customer146,1970-12-01,PAN0146,CIF0146
C0147,Customer147,1976-03-06,PAN0147,CIF0147
C0148,Customer148,1988-03-25,PAN0148,CIF0148
C0149,Customer149,1999-02-12,PAN0149,CIF0149
C0150,Customer150,1974-08-21,PAN0150,CIF0150
C0151,Customer151,1984-04-14,PAN0151,CIF0151
C0152,Customer152,1988-07-18,PAN0152,CIF0152
C0153,Customer153,1971-04-28,PAN0153,CIF0153
C0154,Customer154,1983-04-05,PAN0154,CIF0154
C0155,Customer155,1970-10-22,PAN0155,CIF0155
C0156,Customer156,1992-03-24,PAN0156,CIF0156
C0157,Customer157,1980-12-13,PAN0157,CIF0157
C0158,Customer158,1994-02-08,PAN0158,CIF0158
C0159,Customer159,1996-10-02,PAN0159,CIF0159
C0160,Customer160,1993-06-14,PAN0160,CIF0160
C0161,Customer161,1988-10-20,PAN0161,CIF0161
C0162,Customer162,1973-09-03,PAN0162,CIF0162
C0163,Customer163,1976-11-20,PAN0163,CIF0163
C0164,Customer164,1985-04-26,PAN0164,CIF0164
C0165,Customer165,1987-10-15,PAN0165,CIF0165
C0166,Customer166,1995-11-26,PAN0166,CIF0166
C0167,Customer167,1975-12-11,PAN0167,CIF0167
C0168,Customer168,2000-07-11,PAN0168,CIF0168
C0169,Customer169,1975-04-07,PAN0169,CIF0169
C0170,Customer170,1981-05-27,PAN0170,CIF0170
C0171,Customer171,1995-08-12,PAN0171,CIF0171
C0172,Customer172,1993-03-21,PAN0172,CIF0172
C0173,Customer173,1996-07-16,PAN0173,CIF0173
C0174,Customer174,1990-07-22,PAN0174,CIF0174
C0175,Customer175,1998-03-15,PAN0175,CIF0175
C0176,Customer176,1993-05-20,PAN0176,CIF0176
C0177,Customer177,2000-03-15,PAN0177,CIF0177
C0178,Customer178,1988-04-28,PAN0178,CIF0178
C0179,Customer179,1982-04-27,PAN0179,CIF0179
C0180,Customer180,1975-08-20,PAN0180,CIF0180
C0181,Customer181,1996-04-18,PAN0181,CIF0181
C0182,Customer182,1993-02-03,PAN0182,CIF0182
C0183,Customer183,2000-04-27,PAN0183,CIF0183
C0184,Customer184,1983-08-15,PAN0184,CIF0184
C0185,Customer185,1974-07-17,PAN0185,CIF0185
C0186,Customer186,1996-11-28,PAN0186,CIF0186
C0187,Customer187,2000-10-12,PAN0187,CIF0187
C0188,Customer188,1981-03-21,PAN0188,CIF0188
C0189,Customer189,1994-05-24,PAN0189,CIF0189
C0190,Customer190,1970-08-21,PAN0190,CIF0190
C0191,Customer191,1991-11-15,PAN0191,CIF0191
C0192,Customer192,1992-03-25,PAN0192,CIF0192
C0193,Customer193,2000-09-15,PAN0193,CIF0193
C0194,Customer194,1982-11-07,PAN0194,CIF0194
C0195,Customer195,1970-08-11,PAN0195,CIF0195
C0196,Customer196,1973-08-05,PAN0196,CIF0196
C0197,Customer197,2000-02-11,PAN0197,CIF0197
C0198,Customer198,1973-12-01,PAN0198,CIF0198
C0199,Customer199,1988-01-10,PAN0199,CIF0199
C0200,Customer200,1989-03-20,PAN0200,CIF0200
C0201,Customer201,1992-12-09,PAN0201,CIF0201
C0202,Customer202,1992-03-03,PAN0202,CIF0202
C0203,Customer203,1994-01-06,PAN0203,CIF0203
C0204,Customer204,1991-11-25,PAN0204,CIF0204
C0205,Customer205,1980-10-05,PAN0205,CIF0205
C0206,Customer206,1994-02-02,PAN0206,CIF0206
C0207,Customer207,1981-05-20,PAN0207,CIF0207
C0208,Customer208,1986-05-19,PAN0208,CIF0208
C0209,Customer209,1985-08-08,PAN0209,CIF0209
C0210,Customer210,1981-01-23,PAN0210,CIF0210
C0211,Customer211,1992-08-21,PAN0211,CIF0211
C0212,Customer212,1996-03-21,PAN0212,CIF0212
C0213,Customer213,1987-04-04,PAN0213,CIF0213
C0214,Customer214,1994-01-25,PAN0214,CIF0214
C0215,Customer215,1975-02-28,PAN0215,CIF0215
C0216,Customer216,1992-03-26,PAN0216,CIF0216
C0217,Customer217,1984-07-27,PAN0217,CIF0217
C0218,Customer218,1984-04-22,PAN0218,CIF0218
C0219,Customer219,1998-02-26,PAN0219,CIF0219
C0220,Customer220,1973-03-26,PAN0220,CIF0220
C0221,Customer221,1977-11-12,PAN0221,CIF0221
C0222,Customer222,1979-12-16,PAN0222,CIF0222
C0223,Customer223,1972-04-03,PAN0223,CIF0223
C0224,Customer224,1983-09-19,PAN0224,CIF0224
C0225,Customer225,1979-12-19,PAN0225,CIF0225
C0226,Customer226,1970-07-21,PAN0226,CIF0226
C0227,Customer227,1996-04-09,PAN0227,CIF0227
C0228,Customer228,1981-03-03,PAN0228,CIF0228
C0229,Customer229,1999-09-11,PAN0229,CIF0229
C0230,Customer230,1983-02-25,PAN0230,CIF0230
C0231,Customer231,1989-03-17,PAN0231,CIF0231
C0232,Customer232,1996-11-15,PAN0232,CIF0232
C0233,Customer233,1993-05-26,PAN0233,CIF0233
C0234,Customer234,1978-10-07,PAN0234,CIF0234
C0235,Customer235,1974-10-28,PAN0235,CIF0235
C0236,Customer236,1978-03-28,PAN0236,CIF0236
C0237,Customer237,1982-01-28,PAN0237,CIF0237
C0238,Customer238,1975-06-09,PAN0238,CIF0238
C0239,Customer239,1973-08-17,PAN0239,CIF0239
C0240,Customer240,1985-09-06,PAN0240,CIF0240
C0241,Customer241,1996-04-03,PAN0241,CIF0241
C0242,Customer242,1983-06-13,PAN0242,CIF0242
C0243,Customer243,1983-06-06,PAN0243,CIF0243
C0244,Customer244,1971-05-04,PAN0244,CIF0244
C0245,Customer245,1990-02-24,PAN0245,CIF0245
C0246,Customer246,1984-06-12,PAN0246,CIF0246
C0247,Customer247,1981-11-13,PAN0247,CIF0247
C0248,Customer248,1974-06-05,PAN0248,CIF0248
C0249,Customer249,2000-02-13,PAN0249,CIF0249
C0250,Customer250,1998-09-13,PAN0250,CIF0250
C0251,Customer251,1993-04-06,PAN0251,CIF0251
C0252,Customer252,1970-12-12,PAN0252,CIF0252
C0253,Customer253,1973-09-28,PAN0253,CIF0253
C0254,Customer254,1984-02-11,PAN0254,CIF0254
C0255,Customer255,1984-07-10,PAN0255,CIF0255
C0256,Customer256,1999-02-23,PAN0256,CIF0256
C0257,Customer257,1983-02-18,PAN0257,CIF0257
C0258,Customer258,1973-11-22,PAN0258,CIF0258
C0259,Customer259,1986-07-02,PAN0259,CIF0259
C0260,Customer260,1981-02-25,PAN0260,CIF0260
C0261,Customer261,2000-04-09,PAN0261,CIF0261
C0262,Customer262,1973-01-11,PAN0262,CIF0262
C0263,Customer263,1988-03-17,PAN0263,CIF0263
C0264,Customer264,1999-12-08,PAN0264,CIF0264
C0265,Customer265,1973-09-14,PAN0265,CIF0265
C0266,Customer266,1997-09-19,PAN0266,CIF0266
C0267,Customer267,1994-04-27,PAN0267,CIF0267
C0268,Customer268,1970-08-04,PAN0268,CIF0268
C0269,Customer269,1984-06-14,PAN0269,CIF0269
C0270,Customer270,1992-08-21,PAN0270,CIF0270
C0271,Customer271,1979-09-13,PAN0271,CIF0271
C0272,Customer272,2000-03-01,PAN0272,CIF0272
C0273,Customer273,1996-09-18,PAN0273,CIF0273
C0274,Customer274,1975-04-09,PAN0274,CIF0274
C0275,Customer275,1991-01-01,PAN0275,CIF0275
C0276,Customer276,1970-06-23,PAN0276,CIF0276
C0277,Customer277,1984-05-03,PAN0277,CIF0277
C0278,Customer278,1986-01-21,PAN0278,CIF0278
C0279,Customer279,1979-10-13,PAN0279,CIF0279
C0280,Customer280,1979-02-22,PAN0280,CIF0280
C0281,Customer281,1985-05-18,PAN0281,CIF0281
C0282,Customer282,1985-11-15,PAN0282,CIF0282
C0283,Customer283,1990-03-06,PAN0283,CIF0283
C0284,Customer284,1987-09-02,PAN0284,CIF0284
C0285,Customer285,1972-11-05,PAN0285,CIF0285
C0286,Customer286,1985-12-11,PAN0286,CIF0286
C0287,Customer287,1989-02-10,PAN0287,CIF0287
C0288,Customer288,1973-03-15,PAN0288,CIF0288
C0289,Customer289,1996-12-07,PAN0289,CIF0289
C0290,Customer290,1996-09-25,PAN0290,CIF0290
C0291,Customer291,1994-08-04,PAN0291,CIF0291
C0292,Customer292,1980-06-01,PAN0292,CIF0292
C0293,Customer293,1977-03-17,PAN0293,CIF0293
C0294,Customer294,1982-02-02,PAN0294,CIF0294
C0295,Customer295,1990-08-27,PAN0295,CIF0295
C0296,Customer296,1987-08-19,PAN0296,CIF0296
C0297,Customer297,1990-12-13,PAN0297,CIF0297
C0298,Customer298,2000-01-06,PAN0298,CIF0298
C0299,Customer299,1997-12-10,PAN0299,CIF0299
C0300,Customer300,1988-09-16,PAN0300,CIF0300
C0301,Customer301,2000-12-01,PAN0301,CIF0301
C0302,Customer302,1983-10-08,PAN0302,CIF0302
C0303,Customer303,1997-05-03,PAN0303,CIF0303
C0304,Customer304,1997-02-18,PAN0304,CIF0304
C0305,Customer305,1980-10-20,PAN0305,CIF0305
C0306,Customer306,1997-08-25,PAN0306,CIF0306
C0307,Customer307,2000-11-06,PAN0307,CIF0307
C0308,Customer308,1970-02-16,PAN0308,CIF0308
C0309,Customer309,1983-10-24,PAN0309,CIF0309
C0310,Customer310,1989-04-12,PAN0310,CIF0310
C0311,Customer311,2000-05-10,PAN0311,CIF0311
C0312,Customer312,1999-09-10,PAN0312,CIF0312
C0313,Customer313,1980-06-15,PAN0313,CIF0313
C0314,Customer314,1976-05-16,PAN0314,CIF0314
C0315,Customer315,1979-05-14,PAN0315,CIF0315
C0316,Customer316,1989-01-10,PAN0316,CIF0316
C0317,Customer317,1986-10-12,PAN0317,CIF0317
C0318,Customer318,1993-02-18,PAN0318,CIF0318
C0319,Customer319,1983-01-23,PAN0319,CIF0319
C0320,Customer320,1989-10-08,PAN0320,CIF0320
C0321,Customer321,1994-08-25,PAN0321,CIF0321
C0322,Customer322,1973-04-04,PAN0322,CIF0322
C0323,Customer323,1996-11-03,PAN0323,CIF0323
C0324,Customer324,1988-04-05,PAN0324,CIF0324
C0325,Customer325,1979-05-18,PAN0325,CIF0325
C0326,Customer326,1972-04-09,PAN0326,CIF0326
C0327,Customer327,1995-06-02,PAN0327,CIF0327
C0328,Customer328,1981-12-20,PAN0328,CIF0328
C0329,Customer329,1978-12-12,PAN0329,CIF0329
C0330,Customer330,1991-04-27,PAN0330,CIF0330
C0331,Customer331,1984-02-10,PAN0331,CIF0331
C0332,Customer332,1978-09-18,PAN0332,CIF0332
C0333,Customer333,1984-05-18,PAN0333,CIF0333
C0334,Customer334,1986-05-20,PAN0334,CIF0334
C0335,Customer335,1971-05-02,PAN0335,CIF0335
C0336,Customer336,1984-02-28,PAN0336,CIF0336
C0337,Customer337,1990-04-22,PAN0337,CIF0337
C0338,Customer338,1994-01-08,PAN0338,CIF0338
C0339,Customer339,1972-10-13,PAN0339,CIF0339
C0340,Customer340,1993-12-21,PAN0340,CIF0340
C0341,Customer341,2000-04-18,PAN0341,CIF0341
C0342,Customer342,1977-02-06,PAN0342,CIF0342
C0343,Customer343,1972-11-12,PAN0343,CIF0343
C0344,Customer344,1980-04-20,PAN0344,CIF0344
C0345,Customer345,1993-09-10,PAN0345,CIF0345
C0346,Customer346,1976-03-10,PAN0346,CIF0346
C0347,Customer347,1993-10-04,PAN0347,CIF0347
C0348,Customer348,1972-07-07,PAN0348,CIF0348
C0349,Customer349,1985-07-14,PAN0349,CIF0349
C0350,Customer350,1989-06-15,PAN0350,CIF0350
C0351,Customer351,1982-09-01,PAN0351,CIF0351
C0352,Customer352,1992-04-03,PAN0352,CIF0352
C0353,Customer353,1976-10-15,PAN0353,CIF0353
C0354,Customer354,1982-10-16,PAN0354,CIF0354
C0355,Customer355,1995-06-23,PAN0355,CIF0355
C0356,Customer356,1972-08-28,PAN0356,CIF0356
C0357,Customer357,1991-06-09,PAN0357,CIF0357
C0358,Customer358,1975-05-21,PAN0358,CIF0358
C0359,Customer359,1990-04-11,PAN0359,CIF0359
C0360,Customer360,1980-10-25,PAN0360,CIF0360
C0361,Customer361,2000-08-17,PAN0361,CIF0361
C0362,Customer362,1974-06-28,PAN0362,CIF0362
C0363,Customer363,1985-01-19,PAN0363,CIF0363
C0364,Customer364,2000-06-27,PAN0364,CIF0364
C0365,Customer365,1996-07-15,PAN0365,CIF0365
C0366,Customer366,1988-05-22,PAN0366,CIF0366
C0367,Customer367,1990-05-16,PAN0367,CIF0367
C0368,Customer368,2000-06-05,PAN0368,CIF0368
C0369,Customer369,1986-10-17,PAN0369,CIF0369
C0370,Customer370,1985-01-14,PAN0370,CIF0370
C0371,Customer371,1987-08-17,PAN0371,CIF0371
C0372,Customer372,1999-06-03,PAN0372,CIF0372
C0373,Customer373,1991-12-16,PAN0373,CIF0373
C0374,Customer374,1974-06-16,PAN0374,CIF0374
C0375,Customer375,2000-05-19,PAN0375,CIF0375
C0376,Customer376,1977-08-25,PAN0376,CIF0376
C0377,Customer377,1974-05-19,PAN0377,CIF0377
C0378,Customer378,1989-12-27,PAN0378,CIF0378
C0379,Customer379,1998-11-20,PAN0379,CIF0379
C0380,Customer380,1997-01-01,PAN0380,CIF0380
C0381,Customer381,1995-10-16,PAN0381,CIF0381
C0382,Customer382,1979-07-28,PAN0382,CIF0382
C0383,Customer383,1997-06-01,PAN0383,CIF0383
C0384,Customer384,1971-06-21,PAN0384,CIF0384
C0385,Customer385,1970-08-14,PAN0385,CIF0385
C0386,Customer386,1971-04-10,PAN0386,CIF0386
C0387,Customer387,1996-09-16,PAN0387,CIF0387
C0388,Customer388,1980-09-07,PAN0388,CIF0388
C0389,Customer389,1987-09-08,PAN0389,CIF0389
C0390,Customer390,1979-11-24,PAN0390,CIF0390
C0391,Customer391,1975-03-25,PAN0391,CIF0391
C0392,Customer392,1982-09-20,PAN0392,CIF0392
C0393,Customer393,2000-06-03,PAN0393,CIF0393
C0394,Customer394,1973-02-12,PAN0394,CIF0394
C0395,Customer395,1987-10-24,PAN0395,CIF0395
C0396,Customer396,1992-07-20,PAN0396,CIF0396
C0397,Customer397,1973-09-26,PAN0397,CIF0397
C0398,Customer398,1974-01-28,PAN0398,CIF0398
C0399,Customer399,1981-03-06,PAN0399,CIF0399
C0400,Customer400,1983-07-05,PAN0400,CIF0400
C0401,Customer401,1977-09-11,PAN0401,CIF0401
C0402,Customer402,1976-08-03,PAN0402,CIF0402
C0403,Customer403,1996-12-23,PAN0403,CIF0403
C0404,Customer404,1991-07-03,PAN0404,CIF0404
C0405,Customer405,1989-12-18,PAN0405,CIF0405
C0406,Customer406,1977-12-10,PAN0406,CIF0406
C0407,Customer407,1975-11-23,PAN0407,CIF0407
C0408,Customer408,1975-06-28,PAN0408,CIF0408
C0409,Customer409,1998-11-14,PAN0409,CIF0409
C0410,Customer410,1998-08-04,PAN0410,CIF0410
C0411,Customer411,1998-05-22,PAN0411,CIF0411
C0412,Customer412,1989-04-22,PAN0412,CIF0412
C0413,Customer413,1980-03-20,PAN0413,CIF0413
C0414,Customer414,1978-09-13,PAN0414,CIF0414
C0415,Customer415,1982-11-27,PAN0415,CIF0415
C0416,Customer416,1994-06-13,PAN0416,CIF0416
C0417,Customer417,1977-10-10,PAN0417,CIF0417
C0418,Customer418,1974-11-12,PAN0418,CIF0418
C0419,Customer419,1973-12-21,PAN0419,CIF0419
C0420,Customer420,1980-02-03,PAN0420,CIF0420
C0421,Customer421,1972-01-27,PAN0421,CIF0421
C0422,Customer422,1991-12-14,PAN0422,CIF0422
C0423,Customer423,2000-09-10,PAN0423,CIF0423
C0424,Customer424,1985-03-06,PAN0424,CIF0424
C0425,Customer425,1972-08-11,PAN0425,CIF0425
C0426,Customer426,1985-04-17,PAN0426,CIF0426
C0427,Customer427,1986-10-17,PAN0427,CIF0427
C0428,Customer428,1973-09-06,PAN0428,CIF0428
C0429,Customer429,1979-07-11,PAN0429,CIF0429
C0430,Customer430,1987-01-17,PAN0430,CIF0430
C0431,Customer431,1984-08-19,PAN0431,CIF0431
C0432,Customer432,1988-03-14,PAN0432,CIF0432
C0433,Customer433,1972-02-17,PAN0433,CIF0433
C0434,Customer434,1973-04-18,PAN0434,CIF0434
C0435,Customer435,1981-10-20,PAN0435,CIF0435
C0436,Customer436,1983-07-24,PAN0436,CIF0436
C0437,Customer437,1990-11-05,PAN0437,CIF0437
C0438,Customer438,1981-12-09,PAN0438,CIF0438
C0439,Customer439,1975-04-23,PAN0439,CIF0439
C0440,Customer440,1995-03-13,PAN0440,CIF0440
C0441,Customer441,1983-04-02,PAN0441,CIF0441
C0442,Customer442,1988-04-20,PAN0442,CIF0442
C0443,Customer443,1998-09-06,PAN0443,CIF0443
C0444,Customer444,1993-07-02,PAN0444,CIF0444
C0445,Customer445,1973-06-19,PAN0445,CIF0445
C0446,Customer446,1974-08-07,PAN0446,CIF0446
C0447,Customer447,1989-10-23,PAN0447,CIF0447
C0448,Customer448,1978-07-18,PAN0448,CIF0448
C0449,Customer449,1987-06-04,PAN0449,CIF0449
C0450,Customer450,1993-01-19,PAN0450,CIF0450
C0451,Customer451,1996-06-22,PAN0451,CIF0451
C0452,Customer452,1990-03-17,PAN0452,CIF0452
C0453,Customer453,1977-01-03,PAN0453,CIF0453
C0454,Customer454,1985-01-27,PAN0454,CIF0454
C0455,Customer455,1984-07-22,PAN0455,CIF0455
C0456,Customer456,1980-10-06,PAN0456,CIF0456
C0457,Customer457,1985-05-23,PAN0457,CIF0457
C0458,Customer458,1987-08-04,PAN0458,CIF0458
C0459,Customer459,1981-04-02,PAN0459,CIF0459
C0460,Customer460,1988-12-24,PAN0460,CIF0460
C0461,Customer461,1988-09-22,PAN0461,CIF0461
C0462,Customer462,1975-08-26,PAN0462,CIF0462
C0463,Customer463,1974-01-15,PAN0463,CIF0463
C0464,Customer464,1988-10-15,PAN0464,CIF0464
C0465,Customer465,1971-01-25,PAN0465,CIF0465
C0466,Customer466,1978-10-06,PAN0466,CIF0466
C0467,Customer467,1982-09-12,PAN0467,CIF0467
C0468,Customer468,1971-11-16,PAN0468,CIF0468
C0469,Customer469,1988-08-25,PAN0469,CIF0469
C0470,Customer470,1978-01-10,PAN0470,CIF0470
C0471,Customer471,1997-10-28,PAN0471,CIF0471
C0472,Customer472,1994-09-05,PAN0472,CIF0472
C0473,Customer473,1995-12-14,PAN0473,CIF0473
C0474,Customer474,1985-05-20,PAN0474,CIF0474
C0475,Customer475,1989-02-01,PAN0475,CIF0475
C0476,Customer476,2000-05-04,PAN0476,CIF0476
C0477,Customer477,1995-03-28,PAN0477,CIF0477
C0478,Customer478,1976-01-05,PAN0478,CIF0478
C0479,Customer479,1999-07-23,PAN0479,CIF0479
C0480,Customer480,1977-11-18,PAN0480,CIF0480
C0481,Customer481,1985-08-10,PAN0481,CIF0481
C0482,Customer482,1979-10-09,PAN0482,CIF0482
C0483,Customer483,1978-10-03,PAN0483,CIF0483
C0484,Customer484,1980-08-06,PAN0484,CIF0484
C0485,Customer485,1982-05-17,PAN0485,CIF0485
C0486,Customer486,1971-11-04,PAN0486,CIF0486
C0487,Customer487,1991-02-04,PAN0487,CIF0487
C0488,Customer488,1996-06-23,PAN0488,CIF0488
C0489,Customer489,1996-04-12,PAN0489,CIF0489
C0490,Customer490,1997-05-13,PAN0490,CIF0490
C0491,Customer491,1984-02-15,PAN0491,CIF0491
C0492,Customer492,1995-11-27,PAN0492,CIF0492
C0493,Customer493,1990-03-01,PAN0493,CIF0493
C0494,Customer494,1983-09-06,PAN0494,CIF0494
C0495,Customer495,1992-08-20,PAN0495,CIF0495
C0496,Customer496,1998-05-05,PAN0496,CIF0496
C0497,Customer497,2000-12-03,PAN0497,CIF0497
C0498,Customer498,1995-01-03,PAN0498,CIF0498
